Itinerary,Flight_legs,Pax
I1467,F806-F907,24
I1468,F861-F907,33
I1469,F907,28
I1470,F908,96
I1471,F03-F909,12
I1472,F909,58
I1473,F735-F910,44
I1474,F910,52
I1475,F911,96
I1476,F912,96
I1477,F92-F93-F913,15
I1478,F913,81
I1479,F914,39
I1480,F915,96
I1481,F384-F916,9
I1482,F583-F916,10
I1483,F916,77
I1484,F917,30
I1485,F918,96
I1486,F759-F919,21
I1487,F919,56
I1488,F920,63
I1489,F00-F921,42
I1490,F921,54
I1491,F922,19
I1492,F355-F923,15
I1493,F887-F923,43
I1494,F923,38
I1495,F924,49
I1496,F701-F925,12
I1497,F925,55
I1498,F456-F926,8
I1499,F487-F554-F926,14
I1500,F554-F926,25
I1501,F602-F926,31
I1502,F926,18
I1503,F01-F927,24
I1504,F357-F927,29
I1505,F781-F927,5
I1506,F927,38
I1507,F928,96
I1508,F929,61
I1509,F153-F930,7
I1510,F351-F930,5
I1511,F930,46
I1512,F430-F931,12
I1513,F549-F550-F931,14
I1514,F651-F931,30
I1515,F931,15
I1516,F633-F932,30
I1517,F932,27
I1518,F933,61
I1519,F380-F934,41
I1520,F934,16
I1521,F773-F935,29
I1522,F935,39
I1523,F687-F936,47
I1524,F123-F813-F936,1
I1525,F936,48
I1526,F464-F937,5
I1527,F816-F937,42
I1528,F937,49
I1529,F938,18
I1530,F214-F939,47
I1531,F939,49
I1532,F940,57
I1533,F938-F941,43
I1534,F941,53
I1535,F942,37
I1536,F943,96
I1537,F944,96
I1538,F945,96
I1539,F265-F946,1
I1540,F946,95
I1541,F947,96
I1542,F948,7
I1543,F948-F949,21
I1544,F949,62
I1545,F238-F950,14
I1546,F530-F950,39
I1547,F701-F950,11
I1548,F706-F950,28
I1549,F950,4
I1550,F951,23
I1551,F249-F952,7
I1552,F952,89
I1553,F200-F953,21
I1554,F953,51
I1555,F29-F954,41
I1556,F146-F954,31
I1557,F510-F665-F954,6
I1558,F954,18
I1559,F955,54
I1560,F956,66
I1561,F143-F957,4
I1562,F430-F957,8
I1563,F862-F957,35
I1564,F883-F957,34
I1565,F957,15
I1566,F392-F958,6
I1567,F828-F958,44
I1568,F958,46
I1569,F959,8
I1570,F249-F960,4
I1571,F549-F960,2
I1572,F960,90
I1573,F961,96
I1574,F755-F962,23
I1575,F962,73
I1576,F963,41
I1577,F199-F292-F964,13
I1578,F351-F964,4
I1579,F964,48
I1580,F27-F965,4
I1581,F445-F965,21
I1582,F521-F965,4
I1583,F549-F965,1
I1584,F965,66
I1585,F966,66
I1586,F966-F967,30
I1587,F967,66
I1588,F314-F968,28
I1589,F760-F831-F968,13
I1590,F968,55
I1591,F969,65
I1592,F566-F970,31
I1593,F970,20
I1594,F137-F971,47
I1595,F631-F632-F633-F971,6
I1596,F970-F971,28
I1597,F971,6
I1598,F972,66
I1599,F238-F973,9
I1600,F973,87
I1601,F974,96
I1602,F355-F975,9
I1603,F975,87
I1604,F976,19
I1605,F833-F977,40
I1606,F977,29
I1607,F397-F978,14
I1608,F469-F978,26
I1609,F978,51
I1610,F312-F979,12
I1611,F461-F979,14
I1612,F786-F979,34
I1613,F831-F979,4
I1614,F931-F979,13
I1615,F979,19
I1616,F980,96
I1617,F218-F981,4
I1618,F609-F981,22
I1619,F981,31
I1620,F821-F982,43
I1621,F972-F982,30
I1622,F982,23
I1623,F244-F983,17
I1624,F443-F983,6
I1625,F446-F983,7
I1626,F605-F983,27
I1627,F607-F983,5
I1628,F801-F983,17
I1629,F835-F983,11
I1630,F983,6
I1631,F984,96
I1632,F985,96
I1633,F986,96
I1634,F987,96
I1635,F988,96
I1636,F989,96
I1637,F990,38
I1638,F435-F991,21
I1639,F670-F991,29
I1640,F990-F991,33
I1641,F991,13
I1642,F992,96
I1643,F993,27
I1644,F833-F994,27
I1645,F994,69
I1646,F123-F995,1
I1647,F189-F995,5
I1648,F615-F814-F995,15
I1649,F995,40
I1650,F996,96
I1651,F997,96
I1652,F26-F998,3
I1653,F89-F998,9
I1654,F337-F998,22
I1655,F891-F998,34
I1656,F998,28
I1657,F999,13
I1658,F383-F1000,20
I1659,F698-F1000,12
I1660,F1000,64
I1661,F1001,96
I1662,F57-F1002,1
I1663,F226-F1002,15
I1664,F369-F370-F1002,12
I1665,F575-F1002,38
I1666,F687-F1002,20
I1667,F1002,7
I1668,F276-F1003,41
I1669,F1002-F1003,3
I1670,F1003,52
I1671,F1004,20
I1672,F615-F1005,22
I1673,F784-F1005,45
I1674,F1005,19
I1675,F137-F1006,15
I1676,F314-F1006,13
I1677,F515-F1006,12
I1678,F642-F1006,43
I1679,F1006,13
I1680,F1007,96
I1681,F12-F1008,1
I1682,F349-F1008,15
I1683,F399-F1008,24
I1684,F411-F1008,24
I1685,F1008,32
I1686,F1009,96
I1687,F26-F90-F1010,19
I1688,F299-F1010,30
I1689,F709-F1010,41
I1690,F1010,6
I1691,F1011,36
I1692,F1011-F1012,29
I1693,F1012,67
I1694,F933-F1013,35
I1695,F1013,61
I1696,F1014,96
I1697,F1015,96
I1698,F1016,96
I1699,F1017,96
I1700,F1018,96
I1701,F612-F1019,40
I1702,F1019,56
I1703,F12-F1020,1
I1704,F94-F1020,14
I1705,F636-F1020,22
I1706,F1020,59
I1707,F779-F1021,8
I1708,F1021,88
I1709,F1022,27
I1710,F580-F1023,43
I1711,F891-F1023,27
I1712,F990-F1023,25
I1713,F1023,1
I1714,F1024,96
I1715,F65-F1025,15
I1716,F79-F1025,11
I1717,F153-F1025,4
I1718,F351-F1025,3
I1719,F116-F542-F1025,2
I1720,F542-F1025,27
I1721,F814-F1025,20
I1722,F1025,14
I1723,F582-F1026,31
I1724,F54-F607-F1026,10
I1725,F607-F1026,3
I1726,F618-F1026,24
I1727,F1026,28
I1728,F1027,53
I1729,F1028,96
I1730,F1029,96
I1731,F1011-F1030,31
I1732,F1030,65
I1733,F1031,96
I1734,F52-F1032,9
I1735,F1032,87
I1736,F07-F1033,28
I1737,F78-F1033,9
I1738,F1033,59
I1739,F74-F1034,19
I1740,F131-F1034,21
I1741,F830-F1034,44
I1742,F1034,12
I1743,F1035,58
I1744,F549-F1036,1
I1745,F615-F1036,17
I1746,F788-F1036,30
I1747,F1036,30
I1748,F00-F1037,17
I1749,F49-F1037,13
I1750,F1037,66
I1751,F72-F1038,22
I1752,F940-F1038,39
I1753,F1038,35
I1754,F1039,65
I1755,F456-F1040,3
I1756,F804-F1040,42
I1757,F1040,51
I1758,F1041,96
I1759,F1042,96
I1760,F1043,96
I1761,F1044,49
I1762,F133-F1045,33
I1763,F530-F1045,18
I1764,F609-F981-F1045,18
I1765,F1045,27
I1766,F216-F1046,17
I1767,F323-F1046,34
I1768,F1046,45
I1769,F1047,64
I1770,F57-F1048,1
I1771,F549-F1048,1
I1772,F784-F1048,19
I1773,F788-F1048,25
I1774,F959-F1048,40
I1775,F1048,10
I1776,F1049,96
I1777,F205-F1050,3
I1778,F235-F1050,2
I1779,F833-F1050,14
I1780,F976-F1050,32
I1781,F993-F1050,30
I1782,F1050,3
I1783,F94-F1051,13
I1784,F150-F1051,15
I1785,F186-F1051,24
I1786,F399-F1051,14
I1787,F716-F1051,24
I1788,F205-F1050-F1051,2
I1789,F1051,4
I1790,F1052,54
I1791,F61-F1053,11
I1792,F403-F1053,23
I1793,F1053,28
I1794,F1054,96
I1795,F226-F1055,11
I1796,F1055,85
I1797,F333-F1056,46
I1798,F1056,50
I1799,F1057,59
I1800,F1058,96
I1801,F387-F1059,37
I1802,F684-F1059,32
I1803,F1059,27
I1804,F679-F1060,20
I1805,F1060,76
I1806,F101-F1061,44
I1807,F1061,52
I1808,F1062,64
I1809,F195-F1063,11
I1810,F593-F1063,29
I1811,F1062-F1063,18
I1812,F1063,9
I1813,F335-F1064,32
I1814,F490-F1064,15
I1815,F1062-F1063-F1064,14
I1816,F1064,22
I1817,F1065,96
I1818,F1066,96
I1819,F503-F1067,35
I1820,F515-F1067,4
I1821,F642-F1067,26
I1822,F829-F1067,29
I1823,F1067,2
I1824,F1068,96
I1825,F719-F1069,39
I1826,F1069,57
I1827,F1070,96
I1828,F396-F1071,34
I1829,F456-F603-F1071,8
I1830,F1071,54
I1831,F1072,96
I1832,F1073,96
I1833,F1074,96
I1834,F1075,40
I1835,F146-F1076,11
I1836,F562-F1076,31
I1837,F788-F1076,18
I1838,F959-F1076,26
I1839,F1076,6
I1840,F252-F1077,9
I1841,F399-F1077,11
I1842,F948-F1077,28
I1843,F1077,48
I1844,F125-F1078,37
I1845,F208-F1078,27
I1846,F303-F1078,9
I1847,F453-F1078,16
I1848,F1078,7
I1849,F1079,96
I1850,F1080,96
I1851,F1081,96
I1852,F1082,96
I1853,F1083,96
I1854,F1084,96
I1855,F1085,65
I1856,F1086,96
I1857,F1087,96
I1858,F1088,96
I1859,F873-F1089,30
I1860,F1089,66
I1861,F178-F1090,23
I1862,F207-F1090,7
I1863,F351-F1090,1
I1864,F672-F1090,45
I1865,F814-F1090,14
I1866,F1090,6
I1867,F1091,63
I1868,F687-F1092,8
I1869,F784-F1092,10
I1870,F959-F1092,11
I1871,F1035-F1092,38
I1872,F1092,29
I1873,F1093,96
I1874,F276-F1094,18
I1875,F901-F1094,46
I1876,F1094,32
I1877,F1095,17
I1878,F150-F1096,15
I1879,F780-F1096,24
I1880,F1096,57
I1881,F203-F1097,47
I1882,F352-F1097,9
I1883,F1097,40
I1884,F1098,49
I1885,F143-F1099,3
I1886,F430-F1099,6
I1887,F1098-F1099,47
I1888,F1099,23
I1889,F1100,59
I1890,F173-F1101,10
I1891,F273-F1101,23
I1892,F296-F1101,5
I1893,F434-F1101,26
I1894,F604-F1101,21
I1895,F1101,11
I1896,F1102,96
I1897,F549-F1103,1
I1898,F571-F1103,42
I1899,F1103,53
I1900,F56-F1104,1
I1901,F65-F1104,6
I1902,F542-F1104,29
I1903,F580-F1104,25
I1904,F812-F1104,29
I1905,F1104,4
I1906,F1105,59
I1907,F1106,96
I1908,F1107,96
I1909,F1108,96
I1910,F92-F1109,10
I1911,F1109,86
I1912,F241-F1110,14
I1913,F486-F1110,12
I1914,F1110,70
I1915,F78-F1111,3
I1916,F80-F1111,35
I1917,F118-F1111,29
I1918,F361-F1111,12
I1919,F22-F23-F761-F1111,5
I1920,F1111,12
I1921,F1112,96
I1922,F1113,96
I1923,F1114,96
I1924,F590-F1115,46
I1925,F906-F1115,40
I1926,F1115,10
I1927,F1116,96
I1928,F486-F1117,7
I1929,F1117,53
I1930,F123-F208-F1118,4
I1931,F713-F1118,37
I1932,F808-F1118,30
I1933,F1118,25
I1934,F313-F1119,30
I1935,F1119,66
I1936,F21-F1120,16
I1937,F453-F1120,7
I1938,F553-F1120,10
I1939,F584-F1120,9
I1940,F490-F1064-F1120,13
I1941,F1120,41
I1942,F1121,38
I1943,F541-F1122,14
I1944,F553-F1122,9
I1945,F1122,73
I1946,F1123,96
I1947,F1124,63
I1948,F1125,96
I1949,F205-F1126,3
I1950,F334-F1126,10
I1951,F370-F1126,21
I1952,F398-F1126,5
I1953,F466-F1126,4
I1954,F656-F1126,45
I1955,F1126,8
I1956,F61-F1127,4
I1957,F98-F1127,17
I1958,F274-F1127,27
I1959,F648-F1127,31
I1960,F1127,17
I1961,F1128,96
I1962,F1129,96
I1963,F1130,96
I1964,F1131,96
I1965,F295-F1132,36
I1966,F1132,60
I1967,F1133,96
I1968,F1134,96
I1969,F1135,66
I1970,F642-F1136,9
I1971,F970-F1136,11
I1972,F1136,70
I1973,F1137,21
I1974,F312-F1138,6
I1975,F642-F1138,8
I1976,F1124-F1138,33
I1977,F1138,49
I1978,F1139,66
I1979,F1140,64
I1980,F1141,96
I1981,F250-F1142,13
I1982,F931-F1142,12
I1983,F1137-F1142,46
I1984,F1142,18
I1985,F1143,96
I1986,F1144,32
I1987,F123-F1145,1
I1988,F153-F1145,3
I1989,F732-F1145,5
I1990,F1145,84
I1991,F1146,64
I1992,F1147,63
I1993,F479-F1148,21
I1994,F1147-F1148,33
I1995,F1148,27
I1996,F616-F1149,29
I1997,F999-F1149,21
I1998,F1149,30
I1999,F47-F412-F1150,11
I2000,F999-F1149-F1150,16
I2001,F1150,69
I2002,F1151,58
I2003,F207-F1152,5
I2004,F812-F1152,26
I2005,F1152,65
I2006,F1153,96
I2007,F70-F1154,25
I2008,F214-F1154,20
I2009,F938-F1154,26
I2010,F1154,25
I2011,F1155,96
I2012,F1156,35
I2013,F1156-F1157,41
I2014,F1157,55
I2015,F61-F1158,3
I2016,F1158,93
I2017,F1159,60
I2018,F226-F1160,5
I2019,F334-F1160,5
I2020,F615-F1160,10
I2021,F854-F1160,31
I2022,F959-F1160,8
I2023,F1160,37
I2024,F1161,96
I2025,F264-F1162,11
I2026,F466-F1162,3
I2027,F656-F1162,16
I2028,F784-F1162,8
I2029,F1004-F1162,43
I2030,F1162,15
I2031,F1163,29
I2032,F341-F1164,1
I2033,F739-F1164,39
I2034,F1164,56
I2035,F1165,65
I2036,F123-F1166,1
I2037,F178-F1166,13
I2038,F209-F1166,8
I2039,F351-F1166,1
I2040,F542-F1166,11
I2041,F255-F564-F1166,8
I2042,F564-F1166,2
I2043,F704-F1166,16
I2044,F732-F1166,3
I2045,F1142-F1166,7
I2046,F1166,26
I2047,F1167,96
I2048,F651-F1168,32
I2049,F739-F1168,23
I2050,F1168,29
I2051,F1168-F1169,12
I2052,F1169,56
I2053,F89-F1170,4
I2054,F196-F1170,20
I2055,F337-F1170,11
I2056,F670-F1170,14
I2057,F1170,47
I2058,F1171,40
I2059,F951-F1172,32
I2060,F1075-F1172,30
I2061,F1171-F1172,21
I2062,F1172,5
I2063,F1173,96
I2064,F1174,96
I2065,F133-F1175,27
I2066,F355-F1175,7
I2067,F462-F1175,10
I2068,F530-F1175,8
I2069,F678-F1175,16
I2070,F1175,28
I2071,F1176,96
I2072,F388-F1177,17
I2073,F1177,41
I2074,F184-F409-F1178,6
I2075,F462-F1178,9
I2076,F706-F1178,12
I2077,F1178,69
I2078,F1179,96
I2079,F1180,96
I2080,F1181,96
I2081,F201-F1182,3
I2082,F238-F1182,9
I2083,F407-F1182,22
I2084,F678-F1182,7
I2085,F747-F1182,40
I2086,F1182,15
I2087,F855-F1183,45
I2088,F403-F1053-F1183,12
I2089,F1053-F1183,22
I2090,F1183,17
I2091,F1184,96
I2092,F747-F1185,23
I2093,F1185,73
I2094,F74-F127-F1186,16
I2095,F456-F1186,3
I2096,F598-F698-F1186,8
I2097,F804-F1186,19
I2098,F1186,50
I2099,F1187,62
I2100,F917-F1188,41
I2101,F1188,55
I2102,F466-F1189,2
I2103,F521-F1189,3
I2104,F615-F1189,4
I2105,F784-F1189,6
I2106,F951-F1189,24
I2107,F976-F1189,30
I2108,F1189,27
I2109,F746-F1190,31
I2110,F1190,65
I2111,F1191,96
I2112,F1192,96
I2113,F1193,96
I2114,F1194,57
I2115,F58-F1195,11
I2116,F725-F1195,36
I2117,F929-F1195,19
I2118,F1195,8
I2119,F929-F1195-F1196,16
I2120,F1195-F1196,6
I2121,F1196,74
I2122,F1135-F1197,30
I2123,F1137-F1197,16
I2124,F1139-F1197,30
I2125,F1197,20
I2126,F1198,60
I2127,F541-F1199,8
I2128,F690-F1199,37
I2129,F895-F1199,43
I2130,F1199,8
I2131,F580-F1200,11
I2132,F814-F1200,9
I2133,F1144-F1200,36
I2134,F1165-F1200,31
I2135,F1200,9
I2136,F1201,33
I2137,F279-F1202,11
I2138,F1159-F1202,36
I2139,F1202,49
I2140,F199-F1203,27
I2141,F510-F1203,13
I2142,F662-F1203,29
I2143,F1203,27
I2144,F27-F1204,2
I2145,F146-F1204,8
I2146,F30-F504-F1204,3
I2147,F521-F1204,1
I2148,F567-F1204,13
I2149,F732-F813-F1204,12
I2150,F953-F1204,24
I2151,F971-F1204,6
I2152,F1075-F1204,26
I2153,F1204,1
I2154,F1205,96
I2155,F207-F1206,2
I2156,F351-F1206,1
I2157,F725-F1206,20
I2158,F732-F1206,2
I2159,F812-F1206,15
I2160,F1206,56
I2161,F530-F1207,6
I2162,F821-F1207,18
I2163,F218-F981-F1207,1
I2164,F1044-F1207,47
I2165,F1207,24
I2166,F47-F175-F1208,13
I2167,F253-F436-F1208,10
I2168,F474-F1208,36
I2169,F930-F1208,34
I2170,F1208,3
I2171,F1209,96
I2172,F205-F1210,3
I2173,F615-F1210,2
I2174,F788-F1210,8
I2175,F854-F1210,21
I2176,F1004-F1210,18
I2177,F1210,44
I2178,F271-F1211,41
I2179,F388-F1211,12
I2180,F535-F1211,33
I2181,F1211,10
I2182,F174-F1212,45
I2183,F667-F1212,14
I2184,F1050-F1212,5
I2185,F1104-F1212,2
I2186,F1212,30
I2187,F271-F1213,18
I2188,F773-F1213,23
I2189,F934-F1213,25
I2190,F1213,30
I2191,F1214,27
I2192,F38-F1215,19
I2193,F434-F1215,16
I2194,F1163-F1215,46
I2195,F1215,15
I2196,F1216,96
I2197,F17-F1217,6
I2198,F430-F1217,3
I2199,F253-F436-F1217,6
I2200,F668-F1217,13
I2201,F932-F1217,25
I2202,F956-F1217,30
I2203,F1217,13
I2204,F1218,96
I2205,F42-F1219,46
I2206,F1219,50
I2207,F1220,96
I2208,F1221,96
I2209,F1222,96
I2210,F656-F1223,14
I2211,F854-F1223,21
I2212,F951-F1223,17
I2213,F993-F1223,21
I2214,F1223,23
I2215,F1224,96
I2216,F1225,96
I2217,F1226,96
I2218,F1227,96
I2219,F392-F1228,3
I2220,F878-F1228,43
I2221,F1228,20
I2222,F1228-F1229,19
I2223,F1229,77
I2224,F1230,96
I2225,F1231,61
I2226,F446-F1232,6
I2227,F835-F1232,11
I2228,F1232,79
I2229,F682-F1233,40
I2230,F1233,56
I2231,F26-F1234,2
I2232,F56-F1234,1
I2233,F178-F1234,9
I2234,F196-F1234,14
I2235,F207-F1234,1
I2236,F231-F1234,30
I2237,F247-F1234,11
I2238,F732-F1234,2
I2239,F891-F1234,17
I2240,F1234,9
I2241,F368-F1235,47
I2242,F375-F1235,21
I2243,F1235,28
I2244,F1236,96
I2245,F1237,96
I2246,F1238,96
I2247,F1239,96
I2248,F1240,96
I2249,F1241,96
I2250,F1242,96
I2251,F1243,39
I2252,F558-F1244,21
I2253,F1243-F1244,24
I2254,F1244,23
I2255,F01-F1245,7
I2256,F199-F1245,13
I2257,F1171-F1172-F1245,8
I2258,F1244-F1245,17
I2259,F1245,51
I2260,F1246,96
I2261,F1247,52
I2262,F126-F1248,33
I2263,F1248,22
I2264,F381-F1249,33
I2265,F1248-F1249,29
I2266,F1249,34
I2267,F134-F1250,28
I2268,F200-F1250,11
I2269,F401-F1250,8
I2270,F1052-F1250,42
I2271,F1250,7
I2272,F1251,96
I2273,F1252,65
I2274,F1214-F1253,36
I2275,F1253,60
I2276,F1254,96
I2277,F1255,96
I2278,F170-F1256,29
I2279,F456-F1256,2
I2280,F878-F1256,16
I2281,F1039-F1256,31
I2282,F1256,18
I2283,F32-F1257,5
I2284,F143-F1257,3
I2285,F273-F1257,13
I2286,F434-F1257,7
I2287,F474-F1257,19
I2288,F550-F1257,10
I2289,F668-F1257,4
I2290,F819-F1257,14
I2291,F759-F919-F1257,19
I2292,F1257,2
I2293,F1258,96
I2294,F735-F1259,23
I2295,F1259,43
I2296,F1259-F1260,30
I2297,F1260,66
I2298,F1261,96
I2299,F1262,96
I2300,F1263,96
I2301,F342-F1264,18
I2302,F376-F1264,32
I2303,F1264,46
I2304,F1265,96
I2305,F1266,96
I2306,F376-F1267,20
I2307,F566-F1267,28
I2308,F752-F1267,35
I2309,F1267,13
I2310,F1268,63
I2311,F567-F1269,10
I2312,F784-F1269,3
I2313,F959-F1269,3
I2314,F993-F1269,18
I2315,F1004-F1269,15
I2316,F1047-F1269,32
I2317,F1269,15
I2318,F1270,96
I2319,F27-F1271,1
I2320,F264-F1271,7
I2321,F279-F1271,12
I2322,F389-F1271,11
I2323,F526-F1271,4
I2324,F536-F1271,12
I2325,F571-F1271,24
I2326,F687-F1271,8
I2327,F833-F1271,6
I2328,F971-F1271,3
I2329,F1271,8
I2330,F1272,67
I2331,F58-F1273,6
I2332,F199-F292-F1273,6
I2333,F732-F1273,1
I2334,F1151-F1273,38
I2335,F1273,29
I2336,F1273-F1274,16
I2337,F1274,80
I2338,F1275,96
I2339,F472-F1276,19
I2340,F735-F1276,13
I2341,F1276,64
I2342,F870-F1277,44
I2343,F917-F1277,25
I2344,F1277,27
I2345,F1278,96
I2346,F1187-F1279,34
I2347,F1279,62
I2348,F1280,96
I2349,F438-F1281,46
I2350,F732-F1145-F1281,3
I2351,F1281,47
I2352,F1282,54
I2353,F1282-F1283,24
I2354,F1283,54
I2355,F189-F1284,2
I2356,F252-F253-F1284,9
I2357,F292-F1284,30
I2358,F542-F1284,10
I2359,F963-F1284,33
I2360,F1284,9
I2361,F238-F1285,5
I2362,F821-F1285,14
I2363,F887-F1285,22
I2364,F922-F1285,39
I2365,F948-F949-F1285,13
I2366,F1285,3
I2367,F1286,61
I2368,F249-F1287,1
I2369,F1287,95
I2370,F384-F1288,5
I2371,F1288,91
I2372,F369-F370-F1289,10
I2373,F370-F1289,18
I2374,F466-F1289,1
I2375,F526-F1289,3
I2376,F534-F1289,29
I2377,F784-F1289,1
I2378,F964-F1289,31
I2379,F1289,3
I2380,F1290,96
I2381,F942-F1291,36
I2382,F1291,60
I2383,F1292,96
I2384,F201-F1293,2
I2385,F109-F355-F1293,16
I2386,F407-F1293,12
I2387,F703-F1293,38
I2388,F821-F1293,7
I2389,F887-F1293,14
I2390,F1284-F1293,3
I2391,F1293,4
I2392,F1294,96
I2393,F1295,96
I2394,F914-F1296,34
I2395,F1296,62
I2396,F52-F1297,4
I2397,F74-F1297,16
I2398,F316-F1297,28
I2399,F1247-F1297,44
I2400,F1297,4
I2401,F230-F1298,34
I2402,F222-F717-F1298,19
I2403,F1298,43
I2404,F1299,96
I2405,F19-F1300,7
I2406,F729-F1300,42
I2407,F1121-F1300,38
I2408,F1300,9
I2409,F1228-F1301,11
I2410,F1301,85
I2411,F1302,96
I2412,F12-F1303,1
I2413,F469-F1303,14
I2414,F780-F1303,13
I2415,F948-F1303,13
I2416,F1303,55
I2417,F305-F1304,24
I2418,F417-F1304,34
I2419,F583-F1304,8
I2420,F593-F1063-F1304,15
I2421,F1304,11
I2422,F1305,96
I2423,F590-F1306,21
I2424,F861-F1306,21
I2425,F1306,54
I2426,F199-F1307,11
I2427,F291-F1307,19
I2428,F1243-F1244-F1307,11
I2429,F1307,55
I2430,F1308,96
I2431,F1309,96
I2432,F324-F1310,25
I2433,F1310,71
I2434,F1311,96
I2435,F1312,96
I2436,F1313,96
I2437,F1314,96
I2438,F864-F1315,32
I2439,F1315,64
I2440,F1316,96
I2441,F25-F1317,13
I2442,F1027-F1317,43
I2443,F1248-F1317,12
I2444,F1317,28
I2445,F1318,96
I2446,F878-F1319,16
I2447,F1319,80
I2448,F1320,96
I2449,F161-F1321,13
I2450,F163-F1321,28
I2451,F174-F1321,25
I2452,F186-F1321,12
I2453,F948-F1321,7
I2454,F1050-F1321,3
I2455,F1076-F1321,4
I2456,F1321,4
I2457,F1322,96
I2458,F399-F1323,7
I2459,F469-F1323,6
I2460,F667-F1323,6
I2461,F1095-F1323,38
I2462,F1323,39
I2463,F1156-F1324,20
I2464,F1324,76
I2465,F1325,66
I2466,F1326,96
I2467,F151-F1327,15
I2468,F181-F1327,20
I2469,F1327,34
I2470,F392-F1328,2
I2471,F404-F1328,21
I2472,F1328,73
I2473,F1329,96
I2474,F891-F1330,4
I2475,F1022-F1330,33
I2476,F1330,37
I2477,F773-F1331,15
I2478,F891-F1330-F1331,2
I2479,F1330-F1331,13
I2480,F1331,37
I2481,F419-F1332,24
I2482,F899-F1332,33
I2483,F891-F1330-F1331-F1332,1
I2484,F1330-F1331-F1332,6
I2485,F1331-F1332,22
I2486,F1332,10
I2487,F1333,96
I2488,F85-F1334,4
I2489,F305-F1334,12
I2490,F472-F1334,9
I2491,F1334,71
I2492,F1335,96
I2493,F384-F1336,3
I2494,F475-F1336,19
I2495,F490-F1336,13
I2496,F643-F1336,30
I2497,F909-F1336,26
I2498,F1336,5
I2499,F1337,96
I2500,F1338,96
I2501,F701-F1339,4
I2502,F706-F1339,8
I2503,F1339,84
I2504,F1340,96
I2505,F694-F1341,13
I2506,F1341,77
I2507,F1342,26
I2508,F241-F1343,12
I2509,F1342-F1343,32
I2510,F1343,52
I2511,F457-F1344,35
I2512,F690-F1344,22
I2513,F1121-F1344,20
I2514,F1344,19
I2515,F04-F1345,36
I2516,F456-F603-F1345,4
I2517,F995-F1345,35
I2518,F1345,21
I2519,F1346,65
I2520,F1346-F1347,31
I2521,F1347,65
I2522,F533-F1348,7
I2523,F763-F1348,26
I2524,F1348,33
I2525,F278-F1349,42
I2526,F546-F1349,21
I2527,F1348-F1349,30
I2528,F1349,3
I2529,F249-F1350,1
I2530,F389-F1350,8
I2531,F388-F536-F1350,17
I2532,F536-F1350,8
I2533,F615-F1350,1
I2534,F644-F1350,7
I2535,F1201-F1350,42
I2536,F1350,12
I2537,F1351,96
I2538,F934-F1352,14
I2539,F1352,82
I2540,F438-F1353,19
I2541,F1353,77
I2542,F127-F1354,9
I2543,F392-F1354,2
I2544,F488-F1354,47
I2545,F554-F1354,16
I2546,F698-F1354,12
I2547,F1354,10
I2548,F1355,96
I2549,F541-F1356,4
I2550,F895-F1356,19
I2551,F1356,73
I2552,F1357,96
I2553,F131-F1358,21
I2554,F760-F1358,26
I2555,F1358,49
I2556,F1359,96
I2557,F849-F1360,38
I2558,F1095-F1360,28
I2559,F1360,30
I2560,F19-F1361,4
I2561,F453-F1361,5
I2562,F1117-F1361,36
I2563,F1361,51
I2564,F102-F1362,18
I2565,F399-F1362,4
I2566,F636-F1362,11
I2567,F716-F1362,11
I2568,F852-F1362,18
I2569,F1050-F1362,1
I2570,F1362,20
I2571,F313-F1363,14
I2572,F19-F458-F1363,16
I2573,F669-F1363,22
I2574,F893-F1363,37
I2575,F1363,7
I2576,F1364,96
I2577,F1365,96
I2578,F457-F1366,24
I2579,F487-F1366,11
I2580,F584-F1366,4
I2581,F808-F1366,24
I2582,F1366,30
I2583,F111-F1367,29
I2584,F354-F1367,28
I2585,F464-F1367,5
I2586,F559-F1367,28
I2587,F584-F1366-F1367,3
I2588,F1367,3
I2589,F922-F1368,21
I2590,F924-F1368,47
I2591,F981-F1368,20
I2592,F1368,8
I2593,F1369,96
I2594,F309-F1370,16
I2595,F1370,80
I2596,F392-F1371,1
I2597,F456-F1371,1
I2598,F488-F1371,24
I2599,F466-F616-F1371,4
I2600,F999-F1371,23
I2601,F1148-F1371,15
I2602,F1371,28
I2603,F341-F669-F1372,6
I2604,F852-F1362-F1372,13
I2605,F1372,77
I2606,F1373,96
I2607,F17-F1374,4
I2608,F22-F1374,16
I2609,F1252-F1374,31
I2610,F1374,45
I2611,F1375,96
I2612,F1376,96
I2613,F942-F1377,23
I2614,F1377,73
I2615,F186-F1378,6
I2616,F399-F1378,2
I2617,F1050-F1378,1
I2618,F1095-F1378,13
I2619,F970-F1136-F1378,6
I2620,F1378,68
I2621,F1379,53
I2622,F999-F1380,11
I2623,F1380,50
I2624,F1380-F1381,35
I2625,F1381,61
I2626,F1382,96
I2627,F609-F1383,25
I2628,F618-F1383,20
I2629,F888-F1383,44
I2630,F1383,7
I2631,F341-F1384,1
I2632,F550-F1384,6
I2633,F651-F1384,11
I2634,F723-F1384,29
I2635,F1100-F1384,37
I2636,F1384,12
I2637,F1385,96
I2638,F1386,96
I2639,F293-F1387,15
I2640,F1387,81
I2641,F920-F1388,33
I2642,F1036-F1388,18
I2643,F1388,45
I2644,F1389,96
I2645,F1390,96
I2646,F1391,96
I2647,F1392,96
I2648,F1393,67
